No.,Ticker
1,ABCL
2,ACWX
3,AVAH
4,AVDE
5,BAC
6,BLFS
7,BNS
8,BNY
9,BOXX
10,CADL
11,CFG
12,CLBK
13,CLYM
14,CM
15,CMBT
16,CP
17,CRNX
18,CVBF
19,CVE
20,DAR
21,DINO
22,DNTH
23,EBC
24,EUFN
25,EWC
26,EXPD
27,EXPE
28,FBP
29,FENI
30,FNDF
31,FTI
32,GNW
33,HELP
34,HGER
35,HP
36,HTFL
37,IBB
38,IMVT
39,IOVA
40,IQLT
41,IQQ
42,IVZ
43,IXUS
44,KBE
45,KBWB
46,LYTE
47,MPC
48,MRK
49,MTB
50,NAT
51,NESR
52,NOV
53,OII
54,ORKA
55,PBF
56,PNC
57,PSX
58,ROIV
59,ROKU
60,RVMD
61,SBLK
62,SCHF
63,SCHM
64,SCHV
65,SCHW
66,SGMT
67,SPDW
68,STT
69,SVIX
70,SVXY
71,TD
72,TECH
73,USB
74,VEA
75,VEU
76,VLO
77,VTV
78,WES
